...1,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filename,filepath
1437,8116,0,sn89060136,NA,1899,4,28,seq-2,ed-1,1,http://localhost:62222/pages/8116/mdu_belair_ver01/sn89060136/1899/04/28/ed-1/seq-2/1,Maryland,8116_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8116_0.txt
3129,8126,0,sn86071197,"The Houston daily post (Houston, Tex.)",1897,8,25,seq-5,ed-1,1,http://localhost:62222/pages/8126/txdn_delta_ver01/sn86071197/1897/08/25/ed-1/seq-5/1,Texas,8126_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8126_0.txt
608,8127,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,http://localhost:62222/pages/8127/deu_edgemoor_ver01/sn85042354/1912/06/25/ed-1/seq-7/1,Delaware,8127_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8127_0.txt
1455,8129,0,sn89060092,NA,1896,2,7,seq-6,ed-1,1,http://localhost:62222/pages/8129/mdu_frederick_ver03/sn89060092/1896/02/07/ed-1/seq-6/1,Maryland,8129_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8129_0.txt
3520,8137,0,sn85040245,"Ladysmith news-budget (Ladysmith, Rusk...)",1913,3,7,seq-6,ed-1,1,http://localhost:62222/pages/8137/whi_knarl_ver02/sn85040245/1913/03/07/ed-1/seq-6/1,Wisconsin,8137_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8137_0.txt
3554,8144,0,sn86092518,"Wheeling register (Wheeling, W. Va...)",1896,1,14,seq-1,ed-1,1,http://localhost:62222/pages/8144/wvu_isner_ver01/sn86092518/1896/01/14/ed-1/seq-1/1,West Virginia,8144_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8144_0.txt
3207,8149,0,sn85058130,The Salt Lake herald (Salt Lake City ...),1908,1,3,seq-2,ed-1,1,http://localhost:62222/pages/8149/uuml_five_ver01/sn85058130/1908/01/03/ed-1/seq-2/1,Utah,8149_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8149_0.txt
3089,8153,0,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1,Texas,8153_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8153_0.txt
3091,8153,1,sn86088201,"The Waco evening news (Waco, Tex.)",1893,9,21,seq-3,ed-1,1,http://localhost:62222/pages/8153/txdn_argentina_ver01/sn86088201/1893/09/21/ed-1/seq-3/1,Texas,8153_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8153_1.txt
2374,8155,0,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1,North Dakota,8155_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8155_0.txt
2377,8155,1,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1,North Dakota,8155_1.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8155_1.txt
2375,8155,2,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1,North Dakota,8155_2.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8155_2.txt
2376,8155,3,sn87096037,"The Hope pioneer (Hope, N.D.)",1893,8,4,seq-2,ed-1,1,http://localhost:62222/pages/8155/ndhi_argon_ver01/sn87096037/1893/08/04/ed-1/seq-2/1,North Dakota,8155_3.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8155_3.txt
3531,8165,0,sn85059533,"Martinsburg herald (Martinsburg, W....)",1891,4,4,seq-1,ed-1,1,http://localhost:62222/pages/8165/wvu_boros_ver02/sn85059533/1891/04/04/ed-1/seq-1/1,West Virginia,8165_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8165_0.txt
1909,8166,0,sn85034375,"The Grenada sentinel (Grenada, Miss.)",1893,9,30,seq-2,ed-1,1,http://localhost:62222/pages/8166/msar_eyelet_ver02/sn85034375/1893/09/30/ed-1/seq-2/1,Mississippi,8166_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8166_0.txt
2500,8169,0,sn83030193,"The evening world (New York, N.Y.)",1891,4,28,seq-2,ed-2,1,http://localhost:62222/pages/8169/nn_isahakyan_ver01/sn83030193/1891/04/28/ed-2/seq-2/1,New York,8169_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8169_0.txt
2034,8173,0,sn99021999,NA,1891,10,10,seq-1,ed-1,1,http://localhost:62222/pages/8173/nbu_beatrice_ver01/sn99021999/1891/10/10/ed-1/seq-1/1,Nebraska,8173_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8173_0.txt
386,8176,0,sn94053256,"Waterbury evening Democrat (Waterbury, Conn...)",1891,10,30,seq-1,ed-1,1,http://localhost:62222/pages/8176/ct_gum_ver01/sn94053256/1891/10/30/ed-1/seq-1/1,Connecticut,8176_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8176_0.txt
2373,8180,0,sn87096037,"The Hope pioneer (Hope, N.D.)",1892,11,4,seq-2,ed-2,1,http://localhost:62222/pages/8180/ndhi_argon_ver01/sn87096037/1892/11/04/ed-2/seq-2/1,North Dakota,8180_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8180_0.txt
1658,8181,0,sn90059522,"St. Paul daily globe (Saint Paul, Min...)",1891,10,4,seq-1,ed-1,1,http://localhost:62222/pages/8181/mnhi_faribault_ver01/sn90059522/1891/10/04/ed-1/seq-1/1,Minnesota,8181_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8181_0.txt
1907,8183,0,sn85034375,"The Grenada sentinel (Grenada, Miss.)",1889,9,21,seq-2,ed-1,1,http://localhost:62222/pages/8183/msar_eyelet_ver02/sn85034375/1889/09/21/ed-1/seq-2/1,Mississippi,8183_0.txt,/Users/robwells/Code/hcij_lynching_phase_two/articles_cleaned_2023_03_08/8183_0.txt
