"Code: hostile= 1; orderly= 2; neutral =3; unclear= 4, irrelevant =5; duplicate = 0",docname,from,to,pre,keyword,post,pattern,Unnamed: 0,file_id,article_id,sn,newspaper_name,year,month,day,page,edition,mod_id,URL,newspaper_state,filepath
3,2129_0.txt,41,41,among resolutions presented to the conference today were : commending action of brotherhood of locomotive engineers in settling disputes by arbitration . memorializing congress to pass a law giving the federal government super vision in the cases of negro and,mob,violence . lynching,mob,60,2129,0,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1912,5,7,seq-8,ed-1,1,http://localhost:62222/pages/2129/au_huie_ver01/sn85038485/5/7/ed-1/seq-8/1,Alabama,../sample_corpus_1pct_article_text/2129_0.txt
0,2129_0.txt,41,41,among resolutions presented to the conference today were : commending action of brotherhood of locomotive engineers in settling disputes by arbitration . memorializing congress to pass a law giving the federal government super vision in the cases of negro and,mob,violence . lynching,mob,60,2129,0,sn85038485,"The Birmingham age-herald (Birmingham, Ala...)",1912,5,7,seq-8,ed-1,1,http://localhost:62222/pages/2129/au_huie_ver01/sn85038485/5/7/ed-1/seq-8/1,Alabama,../sample_corpus_1pct_article_text/2129_0.txt
3,2156_0.txt,21,21,in the way of lynch law the burning at the stake of the negro murderer in georgia exceeds any thing,mob,"law has produced and is a repetition of the indian cruelties found only in the history of our pioneer settlers . the negro was captured after a two weeks ' search , and the news brought 2500 people to the little town of newnan , ga . the negro was",mob,1132,2156,0,sn89060136,NA,1899,4,28,seq-2,ed-1,1,http://localhost:62222/pages/2156/mdu_belair_ver01/sn89060136/4/28/ed-1/seq-2/1,Maryland,../sample_corpus_1pct_article_text/2156_0.txt
0,2156_0.txt,21,21,in the way of lynch law the burning at the stake of the negro murderer in georgia exceeds any thing,mob,"law has produced and is a repetition of the indian cruelties found only in the history of our pioneer settlers . the negro was captured after a two weeks ' search , and the news brought 2500 people to the little town of newnan , ga . the negro was",mob,1132,2156,0,sn89060136,NA,1899,4,28,seq-2,ed-1,1,http://localhost:62222/pages/2156/mdu_belair_ver01/sn89060136/4/28/ed-1/seq-2/1,Maryland,../sample_corpus_1pct_article_text/2156_0.txt
1,2156_0.txt,124,124,"a tree with trace chains and then the indian sav . agery in torturing their victim commenced . his ears were cut off , his fingers severed from his hands , one by one , and the flesh cut in slices after he had been roasted alive , the crazy",mob,"struggling for a piece to preserve as a relic of the savage orgie . when the negro's ears and fingers had been cut off coal oil was poured over his body and the brush and fence rails which had been piled around his feet , and a match ap plied",mob,1132,2156,0,sn89060136,NA,1899,4,28,seq-2,ed-1,1,http://localhost:62222/pages/2156/mdu_belair_ver01/sn89060136/4/28/ed-1/seq-2/1,Maryland,../sample_corpus_1pct_article_text/2156_0.txt
0,2156_0.txt,124,124,"a tree with trace chains and then the indian sav . agery in torturing their victim commenced . his ears were cut off , his fingers severed from his hands , one by one , and the flesh cut in slices after he had been roasted alive , the crazy",mob,"struggling for a piece to preserve as a relic of the savage orgie . when the negro's ears and fingers had been cut off coal oil was poured over his body and the brush and fence rails which had been piled around his feet , and a match ap plied",mob,1132,2156,0,sn89060136,NA,1899,4,28,seq-2,ed-1,1,http://localhost:62222/pages/2156/mdu_belair_ver01/sn89060136/4/28/ed-1/seq-2/1,Maryland,../sample_corpus_1pct_article_text/2156_0.txt
3,2167_0.txt,1,1,,mob,"lynches negro woman who murders mistress by the united press . pinehurst , ga . , june 25 . - a mob took ann boston , a negro cook , from county officials who were guard ing her and had the woman from a tree today . the boston woman",mob,275,2167,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,http://localhost:62222/pages/2167/deu_edgemoor_ver01/sn85042354/6/25/ed-1/seq-7/1,Delaware,../sample_corpus_1pct_article_text/2167_0.txt
0,2167_0.txt,1,1,,mob,"lynches negro woman who murders mistress by the united press . pinehurst , ga . , june 25 . - a mob took ann boston , a negro cook , from county officials who were guard ing her and had the woman from a tree today . the boston woman",mob,275,2167,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,http://localhost:62222/pages/2167/deu_edgemoor_ver01/sn85042354/6/25/ed-1/seq-7/1,Delaware,../sample_corpus_1pct_article_text/2167_0.txt
0,2167_0.txt,23,23,"mob lynches negro woman who murders mistress by the united press . pinehurst , ga . , june 25 . - a",mob,"took ann boston , a negro cook , from county officials who were guard ing her and had the woman from a tree today . the boston woman was accused of the murder of her mistress , mrs . r . f . jordan , wife of a wealthy planter",mob,275,2167,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,http://localhost:62222/pages/2167/deu_edgemoor_ver01/sn85042354/6/25/ed-1/seq-7/1,Delaware,../sample_corpus_1pct_article_text/2167_0.txt
0,2167_0.txt,23,23,"mob lynches negro woman who murders mistress by the united press . pinehurst , ga . , june 25 . - a",mob,"took ann boston , a negro cook , from county officials who were guard ing her and had the woman from a tree today . the boston woman was accused of the murder of her mistress , mrs . r . f . jordan , wife of a wealthy planter",mob,275,2167,0,sn85042354,"Evening journal (Wilmington, Del...)",1912,6,25,seq-7,ed-1,1,http://localhost:62222/pages/2167/deu_edgemoor_ver01/sn85042354/6/25/ed-1/seq-7/1,Delaware,../sample_corpus_1pct_article_text/2167_0.txt
